# 感染拡大前比	神奈川県 横浜中華街駅	神奈川県 横浜駅	神奈川県 川崎駅	千葉県 千葉駅	千葉県 船橋駅	東京都 立川駅	東京都 銀座	神奈川県 橋本駅	栃木県 宇都宮オリオン通り	埼玉県 大宮駅西	東京都 東京駅南	東京都 新宿駅	栃木県 宇都宮駅	神奈川県 みなとみらい	東京都 丸の内	東京都 霞が関	東京都 羽田空港 第1ターミナル	東京都 渋谷センター街	東京都 大手町	東京都 品川駅	東京都 羽田空港 第2ターミナル	東京都 東京駅
2020/06/30	-16.0428571428571	-1.84285714285714	-3.68571428571429	-5.28571428571429	-10.3714285714286	-12.9714285714286	-18.6	-10.8142857142857	-12.1	-15.6571428571429	-37.0571428571429	-20.3428571428571	-20.3714285714286	-32.6285714285714	-44.3285714285714	-33.2285714285714	-44.6571428571429	-28.2142857142857	-44.2857142857143	-42.9142857142857	-56.0857142857143	-43.0571428571429
2020/07/01	-16.4	-1.27142857142857	-3.42857142857143	-4.8	-10.9	-12.9571428571429	-18.1714285714286	-10.2714285714286	-12.4714285714286	-15.6714285714286	-36.6428571428571	-20.3428571428571	-19.9	-32.9	-43.9571428571429	-32.8571428571429	-44.0285714285714	-28.5	-43.8428571428571	-42.5714285714286	-56.2857142857143	-42.6714285714286
2020/07/02	-17.4285714285714	-2.17142857142857	-3.87142857142857	-5.01428571428571	-11.5285714285714	-13.5	-17.8857142857143	-9.98571428571429	-12.5285714285714	-16.0142857142857	-36.3428571428571	-20.3571428571429	-19.5428571428571	-32.3428571428571	-43.3714285714286	-32.3142857142857	-42.7571428571429	-28.5142857142857	-43.2	-41.4714285714286	-55.5857142857143	-42.1142857142857
2020/07/03	-17.1285714285714	-1.51428571428571	-3.7	-4.48571428571429	-10.7857142857143	-13.5571428571429	-17.3857142857143	-9.57142857142857	-12.6714285714286	-15.9428571428571	-36.0428571428571	-20.0571428571429	-19.9428571428571	-30.9857142857143	-43.0857142857143	-31.9285714285714	-41.0428571428571	-27.9714285714286	-42.6714285714286	-40.7285714285714	-55.8714285714286	-41.7857142857143
2020/07/04	-17.7	-2.17142857142857	-4.6	-5.15714285714286	-10.9571428571429	-14.2714285714286	-17.4	-9.92857142857143	-12.6	-16.5142857142857	-35.7714285714286	-20.7571428571429	-19.8571428571429	-30.9857142857143	-42.7714285714286	-31.5142857142857	-40.7142857142857	-28.2857142857143	-42.3285714285714	-40.0142857142857	-55.5428571428571	-41.7
2020/07/05	-19.6714285714286	-3	-5.08571428571429	-6.2	-11.6142857142857	-14.4571428571429	-17.8	-9.98571428571429	-13.8571428571429	-17.5571428571429	-36.5857142857143	-22.0285714285714	-20.7857142857143	-32.7	-43.3571428571429	-31.2142857142857	-39.0571428571429	-29.3285714285714	-42.8142857142857	-40.2714285714286	-55.4571428571429	-42.1714285714286
2020/07/06	-20.0714285714286	-2.95714285714286	-5.34285714285714	-6.12857142857143	-11.3428571428571	-14.3571428571429	-18.0142857142857	-10.3857142857143	-14.6142857142857	-17.7	-36.8	-22.7285714285714	-21.7571428571429	-32.9428571428571	-43.7571428571429	-30.9714285714286	-38.4285714285714	-29.7571428571429	-42.9428571428571	-40.5428571428571	-55.5285714285714	-42.5571428571429
2020/07/07	-20.8285714285714	-4.2	-6.57142857142857	-6.77142857142857	-12.2285714285714	-14.6571428571429	-18.5857142857143	-11.8428571428571	-15.1428571428571	-18.2428571428571	-36.8142857142857	-23.6142857142857	-21.1857142857143	-33.1857142857143	-43.7571428571429	-30.6428571428571	-37.8857142857143	-30.2428571428571	-42.6571428571429	-40.4285714285714	-55.2285714285714	-42.4142857142857
2020/07/08	-20.7	-4.55714285714286	-6.78571428571429	-6.91428571428571	-12.2142857142857	-14.8714285714286	-18.4857142857143	-12.8857142857143	-15.2857142857143	-18.2714285714286	-36.7285714285714	-23.6428571428571	-19.7285714285714	-32.8714285714286	-43.5428571428571	-30.8428571428571	-37.3714285714286	-29.8714285714286	-42.5857142857143	-40.0285714285714	-54.8857142857143	-42.4142857142857
2020/07/09	-20.7857142857143	-4.6	-6.71428571428571	-6.98571428571428	-11.6428571428571	-14.9	-18.6571428571429	-13.7285714285714	-15.1714285714286	-18.3571428571429	-36.9285714285714	-24.1142857142857	-18.6571428571429	-33.0857142857143	-43.7714285714286	-30.9571428571429	-38.0142857142857	-30.2	-42.7714285714286	-40.6428571428571	-55.7	-42.7428571428571
